timestamp,day_number,time_limit_s,time_used_s,starting_money,ending_money,debt_paid,total_bets,total_wins,total_losses,guards_triggered,items_purchased
2026-04-15 16:43:14,1,90,90,500,772,1,6,3,3,0,1
2026-04-15 16:43:15,1,90,90,772,772,0,0,0,0,0,0
2026-04-15 16:57:26,1,90,90,500,927,1,1,0,1,0,0
2026-04-15 16:59:24,2,85,85,927,427,0,0,0,0,0,0
2026-04-15 18:01:11,1,90,30,500,10,1,0,0,0,0,1
2026-04-15 18:54:45,1,90,32,500,0,0,5,4,1,0,0
2026-04-15 19:55:25,1,90,68,500,424,1,4,3,1,0,0
2026-04-15 19:55:53,2,85,23,424,0,0,1,0,1,0,0
2026-04-15 19:56:13,1,90,18,500,0,0,0,0,0,0,0
2026-04-15 19:56:40,1,90,25,500,0,0,2,0,2,1,1
2026-04-15 19:58:06,1,90,84,500,1610,1,12,6,6,0,0
2026-04-15 19:58:53,2,85,28,1610,11094,1,2,2,0,0,4
2026-04-15 19:59:19,3,80,20,11094,157046,0,1,1,0,0,3
2026-04-15 19:59:37,1,90,3,500,500,0,0,0,0,0,0
2026-04-15 19:59:45,1,90,6,500,400,1,0,0,0,0,0
2026-04-15 20:01:41,1,90,1,500,400,1,0,0,0,0,0
2026-04-15 20:01:45,2,85,0,400,240,1,0,0,0,0,0
2026-04-15 20:01:48,3,80,0,240,20,1,0,0,0,0,0
2026-04-15 20:03:21,1,90,86,500,1047,1,9,7,2,7,0
2026-04-15 20:04:48,2,85,76,1047,848,0,8,5,3,13,1
2026-04-16 13:00:40,1,90,37,500,0,0,2,0,2,9,2
2026-04-16 13:01:07,1,90,25,500,0,0,3,0,3,0,0
2026-04-16 13:04:13,1,90,90,500,200,1,0,0,0,19,1
2026-04-16 13:04:31,2,85,15,200,0,0,1,0,1,0,0
2026-04-16 13:05:47,1,90,74,500,12275,1,6,5,1,0,4
2026-04-16 13:07:21,2,85,85,12275,9746,1,2,1,1,30,0
2026-04-16 13:08:03,3,80,37,9746,38692,1,1,1,0,0,4
2026-04-16 13:09:58,4,95,95,38692,34702,1,0,0,0,1,4
2026-04-16 13:10:15,5,90,13,34702,68124,1,0,0,0,9,0
2026-04-16 13:10:57,6,85,35,68124,102647,1,3,2,1,0,4
2026-04-16 13:11:40,7,120,36,102647,629000,1,4,3,1,0,4
2026-04-16 13:12:13,8,255,15,629000,642711,0,1,1,0,1,0
2026-04-16 13:16:46,1,90,90,500,380,1,1,0,1,0,0
2026-04-16 13:17:06,2,85,16,380,0,0,2,0,2,0,0
2026-04-16 13:17:25,1,90,17,500,500,0,0,0,0,20,0
2026-04-16 13:17:31,1,90,5,500,0,0,1,0,1,0,0
2026-04-16 13:17:38,1,90,5,500,0,0,1,0,1,0,0
2026-04-16 13:17:44,1,90,4,500,0,0,1,0,1,0,0
2026-04-16 13:18:29,1,90,43,500,2650,1,2,2,0,0,4
2026-04-16 13:20:38,2,85,73,2650,15580,1,6,4,2,0,4
2026-04-16 13:21:14,3,100,30,15580,23535,0,3,2,1,10,0
2026-04-16 13:22:25,1,90,66,500,440,0,1,1,0,22,0
2026-04-16 13:22:33,1,90,2,500,400,1,0,0,0,0,0
2026-04-16 13:22:41,1,90,1,500,400,1,0,0,0,3,0
2026-04-16 13:22:45,2,85,0,400,240,1,0,0,0,0,0
2026-04-16 13:22:52,3,80,1,240,20,1,0,0,0,0,0
2026-04-16 13:25:23,1,90,77,500,9960,1,6,5,1,0,4
2026-04-16 13:26:58,2,85,85,9960,5112,1,4,2,2,0,3
2026-04-16 13:28:28,3,80,80,5112,12611,0,3,3,0,0,2
2026-04-16 13:30:34,1,90,90,500,79,1,4,2,2,0,2
2026-04-16 13:31:00,1,90,20,500,380,1,1,0,1,8,0
2026-04-16 13:31:04,2,85,0,380,220,1,0,0,0,0,0
2026-04-16 13:31:38,1,90,1,500,400,1,0,0,0,0,0
2026-04-16 13:31:40,2,85,0,400,240,1,0,0,0,2,0
2026-04-16 13:31:42,3,80,0,240,20,1,0,0,0,0,0
2026-04-16 13:31:58,1,90,11,500,1400,1,1,1,0,0,0
2026-04-16 13:32:00,2,85,0,1400,1240,1,0,0,0,0,0
2026-04-16 13:32:02,3,80,0,1240,1020,1,0,0,0,0,0
2026-04-16 13:32:04,4,75,0,1020,740,1,0,0,0,0,0
2026-04-16 13:32:05,5,70,0,740,400,1,0,0,0,0,0
2026-04-16 13:32:07,6,65,0,400,0,1,0,0,0,0,0
