timestamp,day,game_type,bet_amount,payout,outcome,shop_effect_used,player_money_before,player_money_after
2026-04-15 16:41:30,1,slots,10,0,lose,none,500,490
2026-04-15 16:41:59,1,dice,110,217,win,none,380,597
2026-04-15 16:42:09,1,case,10,0,loss,none,604,594
2026-04-15 16:42:31,1,case,50,400,win,none,544,944
2026-04-15 16:42:35,1,dice,110,0,loss,none,944,834
2026-04-15 16:42:43,1,dice,210,648,win,none,624,1272
2026-04-15 16:56:10,1,slots,10,0,lose,none,1037,1027
2026-04-15 17:10:28,1,slots,10,20,win,none,490,510
2026-04-15 17:10:35,1,slots,160,320,win,none,350,670
2026-04-15 17:10:53,1,dice,160,0,loss,none,740,580
2026-04-15 18:54:16,1,slots,10,20,win,none,490,510
2026-04-15 18:54:23,1,slots,510,1020,win,none,0,1020
2026-04-15 18:54:29,1,slots,1020,3060,jackpot,none,0,3060
2026-04-15 18:54:36,1,slots,3060,9180,jackpot,none,0,9180
2026-04-15 18:54:44,1,slots,9180,0,lose,none,9180,0
2026-04-15 19:54:45,1,roulette,10,0,loss,none,500,490
2026-04-15 19:55:03,1,slots,10,30,jackpot,none,470,500
2026-04-15 19:55:19,1,dice,10,19,win,none,500,519
2026-04-15 19:55:23,1,case,10,15,win,none,509,524
2026-04-15 19:55:35,2,roulette,10,0,loss,none,124,114
2026-04-15 19:56:34,1,roulette,10,0,loss,none,280,270
2026-04-15 19:56:39,1,dice,270,0,loss,none,270,0
2026-04-15 19:56:47,1,case,10,80,win,none,490,570
2026-04-15 19:56:52,1,dice,570,723,win,none,0,723
2026-04-15 19:57:01,1,case,320,0,loss,none,883,563
2026-04-15 19:57:08,1,case,320,0,loss,none,723,403
2026-04-15 19:57:16,1,case,403,0,loss,none,604,201
2026-04-15 19:57:19,1,dice,201,255,win,none,0,255
2026-04-15 19:57:25,1,dice,255,323,win,none,0,323
2026-04-15 19:57:33,1,dice,255,525,win,none,68,593
2026-04-15 19:57:39,1,case,593,0,loss,none,889,296
2026-04-15 19:57:46,1,case,296,2368,win,none,0,2368
2026-04-15 19:57:55,1,dice,510,0,loss,none,2368,1858
2026-04-15 19:58:02,1,case,592,0,loss,none,2302,1710
2026-04-15 19:58:37,2,case,544,1632,win,none,566,2198
2026-04-15 19:58:44,2,case,544,10880,win,none,1654,12534
2026-04-15 19:59:11,3,case,2048,102400,win,none,55746,158146
2026-04-15 19:59:56,2,dice,10,14,win,none,40,54
2026-04-15 20:00:01,2,case,10,0,loss,none,59,49
2026-04-15 20:00:50,2,case,10,0,loss,none,56,46
2026-04-15 20:00:54,2,dice,10,14,win,none,36,50
2026-04-15 20:01:27,2,dice,10,16,win,none,40,56
2026-04-15 20:02:13,1,dice,10,19,win,none,490,509
2026-04-15 20:02:19,1,case,10,30,win,none,499,529
2026-04-15 20:02:30,1,slots,10,20,win,none,509,529
2026-04-15 20:02:36,1,slots,80,240,jackpot,none,449,689
2026-04-15 20:02:49,1,case,10,200,win,none,1326,1526
2026-04-15 20:02:57,1,dice,160,0,loss,none,1526,1366
2026-04-15 20:03:09,1,roulette,424,0,loss,none,1366,942
2026-04-15 20:03:13,1,dice,160,360,win,none,782,1142
2026-04-15 20:03:18,1,case,10,15,win,none,1132,1147
2026-04-15 20:03:43,2,slots,10,30,jackpot,none,337,367
2026-04-15 20:03:50,2,slots,367,734,win,none,0,734
2026-04-15 20:03:59,2,slots,222,666,jackpot,none,512,1178
2026-04-15 20:04:11,2,dice,160,0,loss,none,858,698
2026-04-15 20:04:19,2,case,320,0,loss,none,858,538
2026-04-15 20:04:27,2,case,320,480,win,none,218,698
2026-04-15 20:04:33,2,slots,10,0,lose,none,698,688
2026-04-15 20:04:40,2,slots,160,320,win,none,528,848
2026-04-16 13:00:33,1,dice,10,0,loss,none,20,10
2026-04-16 13:00:39,1,dice,10,0,loss,none,10,0
2026-04-16 13:00:48,1,slots,10,0,lose,none,500,490
2026-04-16 13:00:54,1,slots,80,0,lose,none,490,410
2026-04-16 13:01:01,1,slots,160,0,lose,none,410,250
2026-04-16 13:04:30,2,roulette,200,0,loss,none,200,0
2026-04-16 13:04:35,1,slots,10,30,jackpot,none,490,520
2026-04-16 13:04:48,1,case,160,240,win,none,370,610
2026-04-16 13:04:53,1,dice,10,0,loss,none,610,600
2026-04-16 13:05:01,1,case,320,480,win,none,280,760
2026-04-16 13:05:10,1,case,160,3200,win,none,600,3800
2026-04-16 13:05:42,1,dice,2500,8250,win,none,4125,12375
2026-04-16 13:06:03,2,case,1918,0,loss,none,8634,6716
2026-04-16 13:06:08,2,dice,2500,5500,win,none,6966,12466
2026-04-16 13:07:43,3,dice,5896,19456,win,none,19456,38912
2026-04-16 13:10:35,6,slots,5120,10240,win,none,67384,77624
2026-04-16 13:10:49,6,case,7672,0,loss,none,80080,72408
2026-04-16 13:10:55,6,dice,5896,12145,win,none,90802,102947
2026-04-16 13:11:11,7,case,7672,153440,win,none,395305,548745
2026-04-16 13:11:14,7,dice,5896,0,loss,none,548745,542849
2026-04-16 13:11:22,7,roulette,10240,20480,win,none,573569,594049
2026-04-16 13:11:34,7,dice,5896,12145,win,none,617365,629510
2026-04-16 13:12:04,8,dice,5896,12145,win,none,630566,642711
2026-04-16 13:13:11,1,dice,10,19,win,none,490,509
2026-04-16 13:13:16,1,roulette,10,0,loss,none,509,499
2026-04-16 13:13:27,1,slots,10,0,lose,none,499,489
2026-04-16 13:14:08,1,case,10,0,loss,none,494,484
2026-04-16 13:14:28,1,slots,10,20,win,none,74,94
2026-04-16 13:16:11,1,dice,10,0,loss,none,490,480
2026-04-16 13:17:01,2,case,380,0,loss,none,570,190
2026-04-16 13:17:05,2,dice,190,0,loss,none,190,0
2026-04-16 13:17:30,1,dice,500,0,loss,none,500,0
2026-04-16 13:17:38,1,dice,500,0,loss,none,500,0
2026-04-16 13:17:43,1,dice,500,0,loss,none,500,0
2026-04-16 13:17:49,1,dice,490,970,win,none,490,1460
2026-04-16 13:18:19,1,slots,1310,3930,jackpot,none,0,3930
2026-04-16 13:18:44,2,case,320,480,win,none,2090,2570
2026-04-16 13:18:52,2,dice,490,0,loss,none,2570,2080
2026-04-16 13:20:03,2,roulette,10,20,win,none,1854,1874
2026-04-16 13:20:08,2,dice,490,837,win,none,3058,3895
2026-04-16 13:20:16,2,case,640,0,loss,none,4375,3735
2026-04-16 13:20:34,2,dice,2385,7870,win,none,7870,15740
2026-04-16 13:20:50,3,case,640,0,loss,none,10800,10160
2026-04-16 13:20:54,3,dice,2385,7870,win,none,15645,23515
2026-04-16 13:20:58,3,slots,10,20,win,none,23515,23535
2026-04-16 13:22:17,1,slots,10,30,jackpot,none,410,440
2026-04-16 13:24:27,1,case,160,0,loss,none,580,420
2026-04-16 13:24:36,1,case,320,480,win,none,100,580
2026-04-16 13:24:43,1,dice,10,9,win,none,570,579
2026-04-16 13:24:56,1,dice,579,573,win,none,0,573
2026-04-16 13:25:07,1,dice,573,567,win,none,0,567
2026-04-16 13:25:15,1,case,567,11340,win,none,0,11340
2026-04-16 13:25:41,2,case,567,1701,win,none,1793,3494
2026-04-16 13:25:49,2,case,567,0,loss,none,3777,3210
2026-04-16 13:25:54,2,case,567,0,loss,none,3635,3068
2026-04-16 13:26:34,2,case,567,1701,win,none,3351,5052
2026-04-16 13:27:07,3,case,1134,1701,win,none,5679,7380
2026-04-16 13:27:57,3,dice,573,567,win,none,7374,7941
2026-04-16 13:28:02,3,case,1134,3402,win,none,10209,13611
2026-04-16 13:30:10,1,case,10,0,loss,none,507,497
2026-04-16 13:30:14,1,dice,10,13,win,none,487,500
2026-04-16 13:30:20,1,dice,10,9,win,none,490,499
2026-04-16 13:30:27,1,slots,10,0,lose,none,489,479
2026-04-16 13:30:54,1,case,80,0,loss,none,560,480
2026-04-16 13:31:14,3,case,160,0,loss,none,300,140
2026-04-16 13:31:19,3,dice,140,177,win,none,0,177
2026-04-16 13:31:25,3,roulette,10,0,loss,none,177,167
2026-04-16 13:31:55,1,case,500,1500,win,none,0,1500
2026-04-16 13:32:20,1,dice,10,0,loss,none,500,490
2026-04-16 13:32:25,1,case,490,0,loss,none,735,245
2026-04-16 13:32:34,1,case,245,735,win,none,0,735
2026-04-16 13:33:02,1,case,635,0,loss,none,952,317
2026-04-16 13:33:08,1,case,317,0,loss,none,554,237
2026-04-16 13:33:12,1,dice,237,355,win,none,0,355
2026-04-16 13:33:45,1,dice,350,0,loss,none,350,0
2026-04-16 13:34:00,1,slots,100,300,jackpot,none,0,300
2026-04-16 13:34:06,1,slots,300,900,jackpot,none,0,900
2026-04-16 13:34:14,1,slots,720,1440,win,none,1440,2880
2026-04-16 13:34:39,5,case,10,30,win,none,2140,2170
2026-04-16 13:35:28,5,dice,10,0,loss,none,2170,2160
2026-04-16 13:35:45,5,dice,1590,5247,win,none,0,5247
2026-04-16 13:36:00,1,case,500,0,loss,none,750,250
2026-04-16 13:36:07,1,dice,250,325,win,none,0,325
